他感冒了。	tā gǎn mào le。	He caught a cold.
从资料库借磁带是退而求其次的办法。	zòng zī liào kù jiè cí dài shì tuì ér qiú qí cì de bàn fǎ。	Borrowing tapes from the library would be the next-best thing.
凡是飞机驾驶员均应对乘客的安全负责.	fán shì fēi jī jià shǐ yuán jūn yìng duì chéng kè de ān quán fù zé.	All pilots are responsible for their passengers' safety.
他很有礼貌地帮助那个老太太扛包裹。	tā hěn yǒu lǐ mào de bāng zhù nèi gè lǎo tài tai káng bāo guǒ。	It was courteous of him to help the old lady with her bundles.
这些收音机制造厂的产品打不开销路。	zhè xie shōu yīn jī zhì zào chǎng de chǎn pǐn dǎ bù kāi xiāo lù。	The radios producers could not find a market for them.
据报道，这艘客轮与一艘油轮相撞。	jù bào dào， zhè sōu kè lún yù yī sōu yóu lún xiàng zhuàng。	The liner is reported to have been in collision with an oil tanker.
新的住宅区一直延伸到游乐场的那一边.	xīn de zhù zhái qū yī zhí yán shēn dào yóu lè chǎng de nà yī biān.	The new housing estate stretches beyond the playing-fields.
她是个很好的妇人，冷酷不是她的本性。	tā shì gè hěn hǎo de fù rén， lěng kù bú shì tā de běn xìng。	She's a very good woman; unkindness is foreign to her nature.
蒸气接触冷的表面而凝结成水珠.	zhēng qì jiē chù lěng de biǎo miàn ér níng jié chéng shuǐ zhū.	Steam condenses/is condensed into water when it touches a cold surface.
这个中心提供各种娱乐活动设施。	zhè gè zhōng xīn tí gōng gè zhǒng yú lè huó dòng shè shī。	The center provides facilities for a whole range of leisure activities.
用不著这样匆忙--我们有的是时间.	yòng bù著 zhè yàng cōng máng-- wǒ men yǒu de shì shí jiān.	There's no need to be in such a tearing hurry we've got plenty of time.
去年是作曲家一生中创作丰收的时期。	qù nián shì zuò qǔ jiā yī shēng zhòng chuàng zuò fēng shōu de shí qī。	Last year was a prolific period in the composer's life.
要是你老这样举棋不定, 我们就来不及了.	yào shì nǐ lǎo zhè yàng jǔ qí bù dìng,  wǒ men jiù lái bù jí le.	If you keep shilly-shallying like this we'll be late.
国际恐怖主义并不是近年才有的现象。	guó jì kǒng bù zhǔ yì bìng bù shì jìn nián cái yǒu de xiàn xiàng。	International terrorism is not just a recent phenomenon.
经理把工作尽量平均分配给雇员.	jīng lǐ bǎ gōng zuò jìn liàng píng jūn fēn pèi jǐ gù yuán.	The manager tried to even out the distribution of work among his employees.
地球只是宇宙中众多星球中的一个。	dì qiú zhǐ shì yǔ zhòu zhòng zhòng duō xīng qiú zhòng dì yī gè。	The Earth is only one of the numerous planets in the universe.
下星期，他将要参加一场国际象棋比赛。	xià xīng qī， tā jiāng yào cān jiā yī chǎng guó jì xiàng qí bǐ sài。	He will take part in a chess tournament next week.
我希望他成为钢琴家的梦想可以成真。	wǒ xī wàng tā chéng wéi gāng qín jiā de mèng xiǎng kě yǐ chéng zhēn。	I hope his dream of becoming a pianist will come true.
有些罪犯被释放后有可能重新犯罪。	yǒu xiē zuì fàn bèi shì fàng hòu yǒu kě néng chóng xīn fàn zuì。	Some criminals are likely to offend again when they are released.
这座建筑物很不起眼, 甚至可以说很难看.	zhè zuò jiàn zhù wù hěn bù qǐ yǎn,  shèn zhì kě yǐ shuō hěn nán kàn.	It's an unattractive building, even ugly/ugly even.
史密斯一个回头球，打到了自己的三柱门上。	shǐ mì sī yī gè huí tóu qiú， dǎ dào le zì jǐ de sān zhù mén shàng。	Smith played a turning ball on to the stumps.
据报道，这艘客轮与一艘油轮相撞。	jù bào dào， zhè sōu kè lún yù yī sōu yóu lún xiàng zhuàng。	The liner is reported to have been in collision with an oil tanker.
政府将制定法规限制枪支出售。	zhèng fǔ jiàng zhì dìng fǎ guī xiàn zhì qiāng zhī chū shòu。	The government will introduce legislation to restrict the sale of firearms.
我是为那个老人女儿的缘故才照顾他的。	wǒ shì wèi nèi gè lǎo rén nu:3 ér de yuán gù cái zhào gu tā de。	I went to look after the old man on the score of his daughter.
这个国家应该主动提出禁止核武器.	zhè gè guó jiā yīng gāi zhǔ dòng tí chū jìn zhǐ hé wǔ qì.	It's up to this country to take the initiative in banning nuclear weapons.
过敏是身体对某些物质的不良反应。	guò mǐn shì shēn tǐ duì mǒu xiē wù zhì de bù liáng fǎn yìng。	An allergy is an adverse reaction of the body to certain substances.
警方搜遍这个地区寻找这个走失的孩子。	jǐng fāng sōu biàn zhè gè dì qū xún zhǎo zhè gè zǒu shī de hái zi。	The police scoured the area looking for the lost child.
把无辜的人投入监狱显然是审判不公.	bǎ wú gū de rén tóu rù jiān yù xiǎn ran shì shěn pàn bù gōng.	Sending an innocent man to prison is a clear miscarriage of justice.
过敏是身体对某些物质的不良反应。	guò mǐn shì shēn tǐ duì mǒu xiē wù zhì de bù liáng fǎn yìng。	An allergy is an adverse reaction of the body to certain substances.
他的母亲已经把他训练成循规蹈矩的人。	tā de mǔ qīn yǐ jīng bǎ tā xùn liàn chéng xún guī dǎo jǔ de rén。	His mother has trained him to be a very proper young man.
这骚乱仅仅是人们不满的一种表露而已。	zhè sāo luàn jǐn jǐn shì rén men bù mǎn de yī zhòng biǎo lù ér yǐ。	This riot is only one manifestation of people's discontent.
在国际市场上，我们的商品不亚于任何人。	zài guó jì shì chǎng shàng， wǒ men de shāng pǐn bù yà yú rèn hé rén。	Our goods are second to none on the world market.
警方在跟犯罪分子的斗争中决不手软。	jǐng fāng zài gēn fàn zuì fèn zǐ de dòu zhēng zhòng jué bù shǒu ruǎn。	The police will not relent in their fight against crime.
他们跟她开玩笑, 把她往游泳池里浸了一下.	tā men gēn tā kāi wán xiào,  bǎ tā wàng yóu yǒng chí lǐ jìn le yī xià.	They dunked her in the swimming-pool as a joke.
公共汽车星期日行驶不一定准能赚钱。	gōng gòng qì chē xīng qī rì xíng shǐ bù yī dìng zhǔn néng zhuàn qián。	It is not always economic for buses to run on Sunday.
削减公费开支意味著要砍掉几所医院.	xuē jiǎn gōng fèi kāi zhī yì wèi著 yào kǎn diào jǐ suǒ yī yuàn.	The public spending cuts will mean the chop for several hospitals.
进出口的高关税是国际贸易的障碍。	jìn chū kǒu de gāo guān shuì shì guó jì mào yì de zhàng ài。	Heavy duties on imports and exports are a barrier to international trade.
我现在辞去主席职位，交由我的副手接替。	wǒ xiàn zài cí qù zhǔ xí zhí wèi， jiāo yóu wǒ de fù shǒu jiē tì。	I am resigning as chairman and handing over to my deputy.
进出口的高关税是国际贸易的障碍。	jìn chū kǒu de gāo guān shuì shì guó jì mào yì de zhàng ài。	Heavy duties on imports and exports are a barrier to international trade.
战胜国要求战败国交付巨额赔款.	zhàn shèng guó yāo qiú zhàn bài guó jiāo fù jù é péi kuǎn.	The victorious nations are demanding huge indemnities from their former enemies.
幕后牵线者如木偶戏中牵金属线或棉线的人	mù hòu qiān xiàn zhě rú mù ǒu xì zhòng qiān jīn shǔ xiàn huò mián xiàn de rén	One who pulls wires or strings, as of puppets.
麻疯病是一种影响皮肤和神经的疾病。	má fēng bìng shì yī zhòng yǐng xiǎng pí fū huò shén jīng de jí bìng。	Leprosy is a kind of disease affecting the skin and nerves.
进出口的高关税是国际贸易的障碍。	jìn chū kǒu de gāo guān shuì shì guó jì mào yì de zhàng ài。	Heavy duties on imports and exports are a barrier to international trade.
专业，主修课选作学术专业的一个研究领域	zhuān yè， zhǔ xiū kè xuǎn zuò xué shù zhuān yè de yī gè yán jiū lǐng yù	A field of study chosen as an academic specialty.
个人清洁对于健康和仪表同样重要。	gè rén qīng jié duì yú jiàn kāng huò yí biǎo tóng yàng zhòng yào。	Personal cleanliness is important to health as well as to appearance.
我已经决定买一部脚踏车，不论贵不贵。	wǒ yǐ jīng jué dìng mǎi yī bù jué tà jū， bù lùn guì bù guì。	I have decided to buy a bicycle, whether it is expensive or not.
医生告诉他每天饭前吃两片阿斯匹林。	yī shēng gào su tā měi tiān fàn qián jí liǎng piàn ē sī pǐ lín。	The doctor told him to take two tablets of aspirin before every meal.
这出戏公演时，当地报纸对它评价不佳。	zhè chū xì gōng yǎn shí， dāng dì bào zhǐ duì tā píng jià bù jiā。	When the play opened, the local press gave it the thumbs down.
由于天气恶劣，许多选民今天没有投票。	yóu yú tiān qì è liè， xǔ duō xuǎn mín jīn tiān méi yǒu tóu piào。	Many electors didn't vote today because of the bad weather.
风猛烈地刮了一整天后，日落后变小了。	fēng měng liè de guā le yī zhěng tiān hòu， rì luò hòu biàn xiǎo le。	The wind was strong all day, but it moderated after sunset.
医生告诉他每天饭前吃两片阿斯匹林。	yī shēng gào su tā měi tiān fàn qián jí liǎng piàn ē sī pǐ lín。	The doctor told him to take two tablets of aspirin before every meal.
他被认为是本世纪第一流的作曲家之一。	tā bèi rèn wéi shì běn shì jì dì yī liú de zuò qǔ jiā zhī yī。	He is regarded as one of the classical composers in this century.
他被认为是本世纪第一流的作曲家之一。	tā bèi rèn wéi shì běn shì jì dì yī liú de zuò qǔ jiā zhī yī。	He is regarded as one of the classical composers in this century.
那位著名的政治家死于一场悲惨的意外事故。	nà wèi著 míng de zhèng zhì jiā sǐ yú yī chǎng bēi cǎn de yì wài shì gù。	The famous politician died in a tragic accident.
主席的简短陈辞概括了委员会的观点.	zhǔ xí de jiǎn duǎn chén cí gài kuò le wěi yuán huì de guān diǎn.	The chairman's short statement encapsulates the views of the committee.
这个星期天浸信会教友将要举行一场典礼。	zhè gè xīng qī tiān jìn xìn kuài jiào yǒu jiāng yào jǔ xíng yī chǎng diǎn lǐ。	The Baptist will hold a ceremony this Sunday.
他因为玩忽职守而失去工作，罪有应得。	tā yīn wèi wàn hū zhí shǒu ér shī qù gōng zuò， zuì yǒu yīng dé。	It served him right to lose that job, because he neglected it.
这所学院接待了一批来访的俄国科学家.	zhè suǒ xué yuàn jiē dài le yī pī lái fǎng de E2 guó kē xué jiā.	The college is (playing) host to a group of visiting Russian scientists.
风向的突然转变预示着暴风雨即将来临。	fēng xiàng de tū rán zhuǎn biàn yù shì zhuó bào fēng yǔ jí jiāng lái lín。	A sudden shift in the wind warned of the coming storm.
部长就局势的最新发展作了另一番解释。	bù zhǎng jiù jú shì de zuì xīn fā zhǎn zuò le lìng yī pān jiě shì。	The minister has put a different gloss on recent developments.
突然窗帘拉了开来，一道强光照了进来。	tū rán chuāng lián lā le kāi lái， yī dào qiáng guāng zhào le jìn lái。	The curtain was suddenly drawn and a bright light shone in.
我可以给你举出她故意粗暴待人的几个例子.	wǒ kě yǐ jǐ nǐ jǔ chū tā gù yì cū bào dài rén de jǐ ge lì zi.	I can quote you several instances of her being deliberately rude.
她一定已经收到包裹了, 我是用挂号寄的.	tā yī dìng yǐ jīng shōu dào bāo guǒ le,  wǒ shì yòng guà hào jì de.	She must have received the parcel: I sent it by registered post.
他用冰凉的手捧起一杯滚热的巧克力饮料。	tā yòng bīng liáng de shǒu pěng qǐ yī bēi gǔn rè de qiǎo kè lì yǐn liào。	He cupped his cold hands round the cup of hot chocolate.
这恰恰减低了他正在提倡的政策本身的价值。	zhè qià qià jiǎn dī le tā zhèng zài tí chàng de zhèng cè běn shēn de jià zhí。	It beggars the very policy he was advocating.
我可以给你举出她故意粗暴待人的几个例子.	wǒ kě yǐ jǐ nǐ jǔ chū tā gù yì cū bào dài rén de jǐ ge lì zi.	I can quote you several instances of her being deliberately rude.
他看不起他们的意见，认为那些意见很幼稚。	tā kàn bù qǐ tā men de yì jiàn， rèn wéi nà xiē yì jiàn hěn yòu zhì。	He spat at their ideas, treating them as childish.
这两块粘合得真好, 几乎看不出接缝.	zhè liǎng kuài zhān hé de zhēn hào,  jī hū kàn bù chū jiē fèng.	The two pieces were stuck together so well that you could hardly see the join.
他出事后重新学习走路要有极大的毅力。	tā chū shì hòu chóng xīn xué xí zǒu lù yào yǒu jí dà de yì lì。	Learning to walk again after his accident required great patience.
发射以光线或波的形式发出和传播能量	fā shè yǐ guāng xiàn huò bō de xíng shì fā chū huò chuán bō néng liàng	Emission and propagation of energy in the form of rays or waves.
摄政者在他的国家推行了一套先进的制度。	shè zhèng zhě zài tā de guó jiā tuī xíng le yī tào xiān jìn de zhì dù。	The regent carried out an advanced system in his country.
